vgeneration,pair,round_actions,payoffs,reasoning_A,reasoning_B,score_A,score_B
9,Agent_39-Agent_23,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,21,39
9,Agent_40-Agent_24,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Always Defect strategy,15,21
9,Agent_33-Agent_25,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,39
9,Agent_34-Agent_26,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,39
9,Agent_35-Agent_27,C-C,3-3,"Win-Stay, Lose-Shift: repeating successful move",Generous Tit-for-Tat: mirroring last move,24,39
9,Agent_36-Agent_28,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,39
9,Agent_37-Agent_29,C-C,3-3,Always Cooperate strategy,Tit-for-Tat: mirroring opponent's last move,24,39
9,Agent_38-Agent_30,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,39
9,Agent_39-Agent_31,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Contrite Tit-for-Tat: mirroring opponent's last move,24,39
9,Agent_40-Agent_32,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Tit-for-Tat: mirroring opponent's last move,16,21
9,Agent_33-Agent_33,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,30
9,Agent_34-Agent_34,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,30
9,Agent_35-Agent_35,C-C,3-3,"Win-Stay, Lose-Shift: repeating successful move","Win-Stay, Lose-Shift: repeating successful move",30,30
9,Agent_36-Agent_36,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,30
9,Agent_37-Agent_37,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,30,30
9,Agent_38-Agent_38,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,30
9,Agent_39-Agent_39,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,30,30
9,Agent_40-Agent_40,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,18,18
9,Agent_33-Agent_41,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,33,15
9,Agent_34-Agent_42,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,33,15
9,Agent_35-Agent_43,C-C,3-3,"Win-Stay, Lose-Shift: repeating successful move",Generous Tit-for-Tat: mirroring last move,33,15
9,Agent_36-Agent_44,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,33,15
9,Agent_37-Agent_45,C-C,3-3,Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,33,15
9,Agent_38-Agent_46,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,33,15
9,Agent_39-Agent_47,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,33,15
9,Agent_40-Agent_48,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Tit-for-Tat: mirroring opponent's last move,19,9
9,Agent_33-Agent_49,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,36,15
9,Agent_34-Agent_50,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,36,15
9,Agent_35-Agent_51,C-C,3-3,"Win-Stay, Lose-Shift: repeating successful move",Tit-for-Tat: mirroring opponent's last move,36,15
9,Agent_36-Agent_52,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,36,15
9,Agent_37-Agent_53,C-C,3-3,Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,36,15
9,Agent_38-Agent_54,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,36,15
9,Agent_39-Agent_55,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,36,15
9,Agent_40-Agent_56,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Always Defect strategy,20,9
9,Agent_33-Agent_57,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,39,15
9,Agent_34-Agent_58,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,39,15
9,Agent_35-Agent_59,C-C,3-3,"Win-Stay, Lose-Shift: repeating successful move",Tit-for-Tat: mirroring opponent's last move,39,15
9,Agent_36-Agent_60,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,39,15
9,Agent_37-Agent_61,C-C,3-3,Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,39,15
9,Agent_38-Agent_62,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,39,15
9,Agent_39-Agent_63,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,39,15
9,Agent_40-Agent_64,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Always Defect strategy,21,9
9,Agent_41-Agent_1,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,18,42
9,Agent_42-Agent_2,C-C,3-3,Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,18,42
9,Agent_43-Agent_3,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,18,42
9,Agent_44-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,18,42
9,Agent_45-Agent_5,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,18,42
9,Agent_46-Agent_6,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,18,42
9,Agent_47-Agent_7,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,18,42
9,Agent_48-Agent_8,D-D,1-1,Tit-for-Tat: mirroring opponent's last move,Grim Trigger: defecting after observed defection,10,22
9,Agent_41-Agent_9,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,21,42
9,Agent_42-Agent_10,C-C,3-3,Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,21,42
9,Agent_43-Agent_11,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,21,42
9,Agent_44-Agent_12,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,21,42
9,Agent_45-Agent_13,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,21,42
9,Agent_46-Agent_14,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,21,42
9,Agent_47-Agent_15,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,21,42
9,Agent_48-Agent_16,D-C,5-0,Tit-for-Tat: mirroring opponent's last move,Contrite Tit-for-Tat: apologizing for unintended defection,15,6
9,Agent_41-Agent_17,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,42
9,Agent_42-Agent_18,C-C,3-3,Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,24,42
9,Agent_43-Agent_19,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,24,42
9,Agent_44-Agent_20,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,42
9,Agent_45-Agent_21,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,42
9,Agent_46-Agent_22,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,42
9,Agent_47-Agent_23,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,24,42
9,Agent_48-Agent_24,D-D,1-1,Tit-for-Tat: mirroring opponent's last move,Always Defect strategy,16,22
9,Agent_41-Agent_25,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,27,42
9,Agent_42-Agent_26,C-C,3-3,Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,27,42
9,Agent_43-Agent_27,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,27,42
9,Agent_44-Agent_28,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,27,42
9,Agent_45-Agent_29,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,27,42
9,Agent_46-Agent_30,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,27,42
9,Agent_47-Agent_31,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Contrite Tit-for-Tat: mirroring opponent's last move,27,42
9,Agent_48-Agent_32,D-D,1-1,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,17,22
9,Agent_41-Agent_33,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,42
9,Agent_42-Agent_34,C-C,3-3,Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,30,42
9,Agent_43-Agent_35,C-C,3-3,Generous Tit-for-Tat: mirroring last move,"Win-Stay, Lose-Shift: repeating successful move",30,42
9,Agent_44-Agent_36,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,42
9,Agent_45-Agent_37,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,30,42
9,Agent_46-Agent_38,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,42
9,Agent_47-Agent_39,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,30,42
9,Agent_48-Agent_40,D-D,1-1,Tit-for-Tat: mirroring opponent's last move,Suspicious Tit-for-Tat: mirroring opponent's move,18,22
9,Agent_41-Agent_41,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,36,36
9,Agent_42-Agent_42,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,36,36
9,Agent_43-Agent_43,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,36,36
9,Agent_44-Agent_44,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,36,36
9,Agent_45-Agent_45,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,36,36
9,Agent_46-Agent_46,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,36,36
9,Agent_47-Agent_47,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,36,36
9,Agent_48-Agent_48,D-D,1-1,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,20,20
9,Agent_41-Agent_49,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,39,18
9,Agent_42-Agent_50,C-C,3-3,Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,39,18
9,Agent_43-Agent_51,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,39,18
9,Agent_44-Agent_52,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,39,18
9,Agent_45-Agent_53,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,39,18
9,Agent_46-Agent_54,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,39,18
9,Agent_47-Agent_55,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,39,18
9,Agent_48-Agent_56,D-D,1-1,Tit-for-Tat: mirroring opponent's last move,Always Defect strategy,21,10
9,Agent_41-Agent_57,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,42,18
9,Agent_42-Agent_58,C-C,3-3,Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,42,18
9,Agent_43-Agent_59,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,42,18
9,Agent_44-Agent_60,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,42,18
9,Agent_45-Agent_61,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,42,18
9,Agent_46-Agent_62,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,42,18
9,Agent_47-Agent_63,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,42,18
9,Agent_48-Agent_64,D-D,1-1,Tit-for-Tat: mirroring opponent's last move,Always Defect strategy,22,10
9,Agent_49-Agent_1,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,21,45
9,Agent_50-Agent_2,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,21,45
9,Agent_51-Agent_3,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,21,45
9,Agent_52-Agent_4,C-C,3-3,Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,21,45
9,Agent_53-Agent_5,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,21,45
9,Agent_54-Agent_6,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,21,45
9,Agent_55-Agent_7,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,21,45
9,Agent_56-Agent_8,D-D,1-1,Always Defect strategy,Grim Trigger: defecting after observed defection,11,23
9,Agent_49-Agent_9,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,45
9,Agent_50-Agent_10,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,45
9,Agent_51-Agent_11,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Always Cooperate strategy,24,45
9,Agent_52-Agent_12,C-C,3-3,Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,24,45
9,Agent_53-Agent_13,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,24,45
9,Agent_54-Agent_14,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,45
9,Agent_55-Agent_15,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,24,45
9,Agent_56-Agent_16,D-C,5-0,Always Defect strategy,Contrite Tit-for-Tat: apologizing for unintended defection,16,6
9,Agent_49-Agent_17,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,27,45
9,Agent_50-Agent_18,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,27,45
9,Agent_51-Agent_19,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,27,45
9,Agent_52-Agent_20,C-C,3-3,Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,27,45
9,Agent_53-Agent_21,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,27,45
9,Agent_54-Agent_22,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,27,45
9,Agent_55-Agent_23,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,27,45
9,Agent_56-Agent_24,D-D,1-1,Always Defect strategy,Always Defect strategy,17,23
9,Agent_49-Agent_25,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,45
9,Agent_50-Agent_26,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,45
9,Agent_51-Agent_27,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,30,45
9,Agent_52-Agent_28,C-C,3-3,Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,30,45
9,Agent_53-Agent_29,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,30,45
9,Agent_54-Agent_30,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,45
9,Agent_55-Agent_31,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Contrite Tit-for-Tat: mirroring opponent's last move,30,45
9,Agent_56-Agent_32,D-D,1-1,Always Defect strategy,Tit-for-Tat: mirroring opponent's last move,18,23
9,Agent_49-Agent_33,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,33,45
9,Agent_50-Agent_34,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,33,45
9,Agent_51-Agent_35,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,"Win-Stay, Lose-Shift: repeating successful move",33,45
9,Agent_52-Agent_36,C-C,3-3,Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,33,45
9,Agent_53-Agent_37,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,33,45
9,Agent_54-Agent_38,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,33,45
9,Agent_55-Agent_39,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,33,45
9,Agent_56-Agent_40,D-D,1-1,Always Defect strategy,Suspicious Tit-for-Tat: mirroring opponent's move,19,23
9,Agent_49-Agent_41,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,36,45
9,Agent_50-Agent_42,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,36,45
9,Agent_51-Agent_43,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,36,45
9,Agent_52-Agent_44,C-C,3-3,Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,36,45
9,Agent_53-Agent_45,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,36,45
9,Agent_54-Agent_46,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,36,45
9,Agent_55-Agent_47,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,36,45
9,Agent_56-Agent_48,D-D,1-1,Always Defect strategy,Tit-for-Tat: mirroring opponent's last move,20,23
9,Agent_49-Agent_49,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,42,42
9,Agent_50-Agent_50,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,42,42
9,Agent_51-Agent_51,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,42,42
9,Agent_52-Agent_52,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,42,42
9,Agent_53-Agent_53,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,42,42
9,Agent_54-Agent_54,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,42,42
9,Agent_55-Agent_55,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,42,42
9,Agent_56-Agent_56,D-D,1-1,Always Defect strategy,Always Defect strategy,22,22
9,Agent_49-Agent_57,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,45,21
9,Agent_50-Agent_58,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,45,21
9,Agent_51-Agent_59,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,45,21
9,Agent_52-Agent_60,C-C,3-3,Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,45,21
9,Agent_53-Agent_61,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,45,21
9,Agent_54-Agent_62,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,45,21
9,Agent_55-Agent_63,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,45,21
9,Agent_56-Agent_64,D-D,1-1,Always Defect strategy,Always Defect strategy,23,11
9,Agent_57-Agent_1,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,48
9,Agent_58-Agent_2,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,48
9,Agent_59-Agent_3,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,24,48
9,Agent_60-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,48
9,Agent_61-Agent_5,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,24,48
9,Agent_62-Agent_6,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,24,48
9,Agent_63-Agent_7,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,48
9,Agent_64-Agent_8,D-D,1-1,Always Defect strategy,Grim Trigger: defecting after observed defection,12,24
9,Agent_57-Agent_9,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,27,48
9,Agent_58-Agent_10,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,27,48
9,Agent_59-Agent_11,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Always Cooperate strategy,27,48
9,Agent_60-Agent_12,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,27,48
9,Agent_61-Agent_13,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,27,48
9,Agent_62-Agent_14,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,27,48
9,Agent_63-Agent_15,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,27,48
9,Agent_64-Agent_16,D-C,5-0,Always Defect strategy,Contrite Tit-for-Tat: apologizing for unintended defection,17,6
9,Agent_57-Agent_17,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,48
9,Agent_58-Agent_18,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,48
9,Agent_59-Agent_19,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,30,48
9,Agent_60-Agent_20,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,48
9,Agent_61-Agent_21,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,48
9,Agent_62-Agent_22,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,48
9,Agent_63-Agent_23,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,48
9,Agent_64-Agent_24,D-D,1-1,Always Defect strategy,Always Defect strategy,18,24
9,Agent_57-Agent_25,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,33,48
9,Agent_58-Agent_26,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,33,48
9,Agent_59-Agent_27,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,33,48
9,Agent_60-Agent_28,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,33,48
9,Agent_61-Agent_29,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,33,48
9,Agent_62-Agent_30,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,33,48
9,Agent_63-Agent_31,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Contrite Tit-for-Tat: mirroring opponent's last move,33,48
9,Agent_64-Agent_32,D-D,1-1,Always Defect strategy,Tit-for-Tat: mirroring opponent's last move,19,24
9,Agent_57-Agent_33,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,36,48
9,Agent_58-Agent_34,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,36,48
9,Agent_59-Agent_35,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,"Win-Stay, Lose-Shift: repeating successful move",36,48
9,Agent_60-Agent_36,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,36,48
9,Agent_61-Agent_37,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,36,48
9,Agent_62-Agent_38,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,36,48
9,Agent_63-Agent_39,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,36,48
9,Agent_64-Agent_40,D-D,1-1,Always Defect strategy,Suspicious Tit-for-Tat: mirroring opponent's move,20,24
9,Agent_57-Agent_41,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,39,48
9,Agent_58-Agent_42,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,39,48
9,Agent_59-Agent_43,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,39,48
9,Agent_60-Agent_44,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,39,48
9,Agent_61-Agent_45,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,39,48
9,Agent_62-Agent_46,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,39,48
9,Agent_63-Agent_47,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,39,48
