Generation,Pair,Actions,Payoffs,Strategy_A,Strategy_B,Reasoning_A,Reasoning_B,Score_A,Score_B
11,Agent_1-Agent_2,D-D,1-1,"{'strategy_rules': ['If the opponent cooperated in the last round, cooperate.', 'If the opponent defected in the last three rounds more than once, defect.', 'If erroneous moves detected (e.g., defection after mutual cooperation without provocation), revert to cooperation after one defection for error correction.', ""Adapt based on the opponent's most frequent action in the last 10 rounds. If cooperation is more frequent, increase cooperation; if defection is more frequent, maintain a mix of cooperation and defection based on retaliation threshold.""], 'forgiveness_factor': 0.6, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': 'This strategy is designed to build long-term relationships through cooperation but remains vigilant against consistent defectors. Forgiveness allows for the correction of possible misinterpretations or errors, while adaptability ensures the strategy responds effectively to the evolving behavior of the opponent.'}","{'strategy_rules': ['If opponent cooperates for the first move, always cooperate on the next move.', 'If opponent defects, retaliate with defection on the next move but return to cooperation if the opponent cooperates twice consecutively thereafter.', ""If noise is detected (e.g., opponent's unexpected move not aligning with previous pattern), repeat the last move."", ""Adjust strategy based on the opponent's cooperation rate: if cooperation rate exceeds 75% over the last 10 moves, increase cooperation; if below 25%, increase defection.""], 'forgiveness_factor': 0.7, 'retaliation_threshold': 0.5, 'adaptability': 0.8, 'rationale': ""The strategy aims to build a long-term relationship through initial cooperation and forgiveness, deter consistent defection with proportional retaliation, correct for potential errors in perception of opponent's moves, and adaptively modify behavior based on the opponent's recent history of cooperation versus defection.""}",Always Defect strategy,Random: choosing action at random,1,1
11,Agent_4-Agent_3,C-C,3-3,"{'strategy_rules': ['If opponent cooperates, cooperate.', 'If opponent defects, defect.', ""If opponent's defection rate exceeds retaliation_threshold, increase defection."", 'After defecting, if opponent cooperates twice consecutively, revert to cooperation considering forgiveness_factor.', 'Monitor own error rate; if errors exceed 10%, reduce complex strategies and default to Tit-for-Tat.', ""Adapt strategy based on opponent's most frequent moves in the last 10 rounds.""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""This strategy builds long-term relationships by cooperating initially and responding directly to opponent's moves, forgiving occasional defections. It includes a retaliation mechanism when defections become frequent but allows for forgiveness if the opponent returns to cooperation. Adaptability is key, adjusting based on the opponent's recent behavior and self-error correction.""}","{'strategy_rules': ['If the opponent cooperates, then cooperate', 'If the opponent defects for the first time, still cooperate', 'If the opponent defects more than once in the last three rounds, defect', ""If opponent's defection rate exceeds 50% over the last 10 rounds, increase defection, else decrease defection"", 'If winning by more than 20% margin, increase cooperation to build trust', 'If errors (misinterpretations of moves) are detected more than twice in 5 rounds, revert to a simple tit-for-tat for the next 5 rounds'], 'forgiveness_factor': 0.7, 'retaliation_threshold': 0.5, 'adaptability': 0.8, 'rationale': ""This strategy is designed to foster long-term relationships by prioritizing early forgiveness and building trust through cooperation. However, it also protects against exploitation by adapting to the opponent's behavior and increasing defection when necessary. The adaptability allows the strategy to modify its behavior based on the history and context of the game, aiming to balance cooperation with necessary retaliation to maximize long-term benefits.""}",Grim Trigger: continuing cooperation,"Win-Stay, Lose-Shift: default cooperation",3,3
11,Agent_1-Agent_4,C-C,3-3,"{'strategy_rules': ['Start with cooperation', 'If opponent cooperates, repeat last move', 'If opponent defects, consider forgiveness based on forgiveness_factor, potentially cooperating anyway', 'If opponent defects consistently above retaliation_threshold, switch to defection', ""Adapt strategy based on opponent's most common action in the last 10 rounds, adjusting responses accordingly""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""This strategy fosters long-term cooperation by initially cooperating and adapting based on the opponent's behavior. Forgiveness allows for error correction and recovery from misunderstandings, while a defined retaliation threshold provides a balance between being exploitable and overly defensive.""}","{'strategy_rules': ['If the opponent cooperates for the first 3 rounds, continue cooperating.', 'If the opponent defects more than twice in the first 5 rounds, retaliate by defecting in the subsequent round.', 'After a defection, if the opponent cooperates twice consecutively, forgive and cooperate in the next round.', ""Adapt strategy based on the opponent's defection rate: if above 50% in the last 10 rounds, increase defection; if below 50%, favor cooperation."", ""Utilize random cooperation once every 10 rounds to test opponent's response to unexpected behavior.""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""The strategy focuses on building trust via initial cooperation and adapting based on the opponent's behavior. It includes mechanisms for forgiveness to recover from errors and retaliation to discourage persistent defection by the opponent.""}",Suspicious Tit-for-Tat: mirroring opponent's move after initial defection,Random: choosing action at random,3,3
12,Agent_2-Agent_2,D-D,1-1,"{'strategy_rules': ['If opponent cooperates two times in a row, then cooperate', 'If opponent defects, then retaliate with defection in the next round', 'If opponent defects but previously cooperated at least 75% of the time, apply forgiveness and cooperate', ""Adjust strategy based on opponent's last 10 rounds, increasing cooperation if their cooperation percentage is above 50%"", 'Use error correction by cooperating after defecting by mistake (i.e., if intended to cooperate but defected)'], 'forgiveness_factor': 0.25, 'retaliation_threshold': 0.5, 'adaptability': 0.75, 'rationale': 'This strategy builds long-term relationships by rewarding consecutive cooperation and adapts based on overall opponent behavior. It incorporates a forgiveness mechanism to counteract occasional defects, allowing recovery from possible errors or misjudgments, fostering a cooperative environment. The adaptability allows the strategy to adjust based on the recent history of interactions, optimizing its responses for varying opponent strategies.'}","{'strategy_rules': ['If opponent cooperated in the last turn, cooperate this turn.', 'If opponent defected in the last turn, defect this turn unless previous five turns were cooperations, then cooperate.', 'If error detected (i.e., accidental defection when both players generally cooperate), revert to cooperating if the overall cooperation rate of opponent is above 75%.', ""If opponent's defection rate exceeds 50% over the last 10 turns, increase defection rate by 20% until opponent's cooperation rate improves."", ""Adjust strategy according to the proportion of the opponent's cooperation in the last 10 turns: if above 70%, maintain cooperation; if between 30% and 70%, mix cooperation and defection strategically; if below 30%, primarily defect.""], 'forgiveness_factor': 0.7, 'retaliation_threshold': 0.5, 'adaptability': 0.8, 'rationale': ""This strategy emphasizes building a cooperative relationship while maintaining adaptability to respond to the opponent's behavior patterns. Forgiveness allows recovery from misunderstandings or errors, whereas the adaptability feature adjusts the player's actions based on the evolving dynamics of the game.""}",Always Defect strategy,Suspicious Tit-for-Tat: starting with defection,1,1
12,Agent_1-Agent_0,D-C,5-0,"{'strategy_rules': ['If the opponent cooperated in the last move, respond with cooperation.', 'If the opponent defected in the last move, respond with defection, unless the defection rate is lower than the retaliation threshold.', 'If the error rate (unexpected defections compared to usual patterns) exceeds 10%, increase cooperation by 10% for the next 5 moves to probe for potential return to cooperation.', ""Adjust response pattern based on the running average of the opponent's cooperation rate; if the rate increases, increase cooperation proportionally."", 'Apply a forgiveness factor after 3 consecutive defections by reverting to cooperation if the opponent cooperates again.'], 'forgiveness_factor': 0.2, 'retaliation_threshold': 0.3, 'adaptability': 0.5, 'rationale': ""This strategy seeks to foster a long-term cooperative relationship by balancing forgiveness and retaliation. It introduces flexibility and adaptability by adjusting responses based on the opponent's behavior and incorporates error correction to handle noise in decision-making patterns.""}","{'strategy_rules': ['If opponent defects more than retaliation_threshold, defect in the next round', 'If opponent cooperates, reciprocate cooperation with a probability of forgiveness_factor', 'If error detected (unexpected defection in a cooperative sequence), cooperate twice to signal willingness to forgive', ""Adjust strategy based on the opponent's most common action over the last 10 rounds, cooperating more if their cooperation rate exceeds adaptability threshold""], 'forgiveness_factor': 0.85, 'retaliation_threshold': 0.5, 'adaptability': 0.75, 'rationale': ""This strategy aims to build long-term relationships by adapting to the opponent's behavior, forgiving occasional defections to correct for potential errors, and strategically defecting when consistent adversarial actions are observed.""}",Always Defect strategy,Generous Tit-for-Tat: default cooperation,5,0
12,Agent_1-Agent_2,C-C,3-3,"{'strategy_rules': ['Start with cooperation', 'If opponent cooperates, repeat last move', 'If opponent defects, consider forgiveness based on forgiveness_factor, potentially cooperating anyway', 'If opponent defects consistently above retaliation_threshold, switch to defection', ""Adapt strategy based on opponent's most common action in the last 10 rounds, adjusting responses accordingly""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""This strategy fosters long-term cooperation by initially cooperating and adapting based on the opponent's behavior. Forgiveness allows for error correction and recovery from misunderstandings, while a defined retaliation threshold provides a balance between being exploitable and overly defensive.""}","{'strategy_rules': ['If the opponent cooperates more than 75% of the time, continue cooperating unless an error is detected.', 'If the opponent defects more than 25% of the time, switch to defection but reassess after three rounds.', 'If an error is detected, such as a misunderstanding or miscommunication (e.g., accidental defection), forgive and return to cooperation once if the overall cooperation rate of the opponent is over 50%.', ""Adapt strategies based on the opponent's most frequent choices in the last 10 rounds, increasing cooperation if the trend moves toward cooperation and increasing defection if the trend moves toward defection.""], 'forgiveness_factor': 0.4, 'retaliation_threshold': 0.25, 'adaptability': 0.7, 'rationale': ""This strategy aims to build long-term relationships by promoting cooperation but allows for flexibility and responsive adjustments based on the opponent's behavior. The approach includes mechanisms for error detection and forgiveness to correct potential misplays, facilitating a resilient and adaptive strategy that balances the dynamics of cooperation and defection.""}",Suspicious Tit-for-Tat: mirroring opponent's move after initial defection,Random: choosing action at random,3,3
12,Agent_3-Agent_4,D-C,5-0,"{'strategy_rules': ['If opponent defects more than retaliation_threshold, defect in next round', 'If opponent cooperates, cooperate and increase forgiveness count', 'If previous move was an error (detected by sudden unexpected defection after a consistent pattern of cooperation), use forgiveness_factor to decide whether to cooperate or defect', ""Adjust strategy based on the adaptability factor depending on opponent's most frequent actions in the last 10 rounds""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""This strategy promotes long-term relationship building by favoring cooperation but includes mechanisms to handle errors and adapt to the opponent's changing strategy. It balances between cooperation and defection based on the opponent's behavior.""}","{'strategy_rules': ['If opponent cooperates consistently for 5 turns, cooperate.', 'If opponent defects, defect next turn.', 'If accidental defection suspected (opponent defects once after consistent cooperation), cooperate next turn.', ""If opponent's defection rate exceeds 50% over the last 10 turns, maintain defection until their cooperation rate exceeds 60% over subsequent turns."", ""Adjust cooperation level based on the opponent's defection rate adjusted to forgiveness factor.""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""The strategy aims to build a long-term relationship through consistent cooperation, yet introduces error correction to handle potential misinterpretations or mistakes. It adjusts dynamically to the opponent's behavior, balancing between cooperation and necessary defection based on observed actions, influenced by a moderate forgiveness factor to allow recovery of cooperative interactions.""}",Always Defect strategy,Grim Trigger: continuing cooperation,5,0
12,Agent_3-Agent_4,C-C,3-3,"{'strategy_rules': ['If the opponent cooperates, then cooperate', 'If the opponent defects for the first time, still cooperate', 'If the opponent defects more than once in the last three rounds, defect', ""If opponent's defection rate exceeds 50% over the last 10 rounds, increase defection, else decrease defection"", 'If winning by more than 20% margin, increase cooperation to build trust', 'If errors (misinterpretations of moves) are detected more than twice in 5 rounds, revert to a simple tit-for-tat for the next 5 rounds'], 'forgiveness_factor': 0.7, 'retaliation_threshold': 0.5, 'adaptability': 0.8, 'rationale': ""This strategy is designed to foster long-term relationships by prioritizing early forgiveness and building trust through cooperation. However, it also protects against exploitation by adapting to the opponent's behavior and increasing defection when necessary. The adaptability allows the strategy to modify its behavior based on the history and context of the game, aiming to balance cooperation with necessary retaliation to maximize long-term benefits.""}","{'strategy_rules': ['If opponent cooperates, cooperate.', 'If opponent defects, defect.', ""If opponent's defection rate exceeds retaliation_threshold, increase defection."", 'After defecting, if opponent cooperates twice consecutively, revert to cooperation considering forgiveness_factor.', 'Monitor own error rate; if errors exceed 10%, reduce complex strategies and default to Tit-for-Tat.', ""Adapt strategy based on opponent's most frequent moves in the last 10 rounds.""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""This strategy builds long-term relationships by cooperating initially and responding directly to opponent's moves, forgiving occasional defections. It includes a retaliation mechanism when defections become frequent but allows for forgiveness if the opponent returns to cooperation. Adaptability is key, adjusting based on the opponent's recent behavior and self-error correction.""}","Win-Stay, Lose-Shift: repeating successful move",Grim Trigger: continuing cooperation,3,3
13,Agent_3-Agent_3,C-C,3-3,"{'strategy_rules': ['Cooperate on the first move.', 'If the opponent cooperated in the last turn, cooperate in the current turn.', ""If the opponent's cooperation rate is above 70%, increase propensity to cooperate by 10%."", 'If the opponent defected in the last move but cooperated in the majority of previous moves, cooperate with a probability equal to the forgiveness factor.', 'Retaliate with defection after two consecutive defections from the opponent, unless their overall cooperation rate remains above the retaliation threshold.', ""Randomly switch strategy from always cooperating to always defecting for one to three moves if the opponent's defection rate exceeds 50% in the last 10 moves, to test and recalibrate.""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.6, 'adaptability': 0.7, 'rationale': ""This strategy builds a long-term relationship by defaulting to cooperation, allows for error correction with forgiveness after isolated defects based on past cooperation, adapts responses based on the opponent's recent behavior, and maintains the potential for both cooperation and defection to deter consistent exploitation.""}","{'strategy_rules': ['If the opponent cooperates, then cooperate', 'If the opponent defects for the first time, still cooperate', 'If the opponent defects more than once in the last three rounds, defect', ""If opponent's defection rate exceeds 50% over the last 10 rounds, increase defection, else decrease defection"", 'If winning by more than 20% margin, increase cooperation to build trust', 'If errors (misinterpretations of moves) are detected more than twice in 5 rounds, revert to a simple tit-for-tat for the next 5 rounds'], 'forgiveness_factor': 0.7, 'retaliation_threshold': 0.5, 'adaptability': 0.8, 'rationale': ""This strategy is designed to foster long-term relationships by prioritizing early forgiveness and building trust through cooperation. However, it also protects against exploitation by adapting to the opponent's behavior and increasing defection when necessary. The adaptability allows the strategy to modify its behavior based on the history and context of the game, aiming to balance cooperation with necessary retaliation to maximize long-term benefits.""}",Contrite Tit-for-Tat: default cooperation,"Win-Stay, Lose-Shift: repeating successful move",3,3
13,Agent_1-Agent_1,C-C,3-3,"{'strategy_rules': [""If it's the first round, cooperate."", 'If the opponent cooperated in the last round, cooperate.', 'If the opponent defected in the last round and it was their first defection, cooperate to correct potential errors.', 'If the opponent defected in the last round and has defected less than retaliation_threshold percentage of total rounds, cooperate.', 'If the opponent defected in the last round and has defected more than retaliation_threshold percentage of total rounds, defect.'], 'forgiveness_factor': 0.25, 'retaliation_threshold': 0.3, 'adaptability': 0.5, 'rationale': ""This strategy builds long-term relationships by initially cooperating and forgiving the first error of defection, assuming it might be a mistake. It allows for adaptive responses by using a threshold of defection percentage before shifting behavior from cooperation to defection. This helps balance between cooperative and punitive actions based on the opponent's overall behavior.""}","{'strategy_rules': ['Start with cooperation', 'If opponent cooperates, repeat last move', 'If opponent defects, consider forgiveness based on forgiveness_factor, potentially cooperating anyway', 'If opponent defects consistently above retaliation_threshold, switch to defection', ""Adapt strategy based on opponent's most common action in the last 10 rounds, adjusting responses accordingly""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""This strategy fosters long-term cooperation by initially cooperating and adapting based on the opponent's behavior. Forgiveness allows for error correction and recovery from misunderstandings, while a defined retaliation threshold provides a balance between being exploitable and overly defensive.""}",Generous Tit-for-Tat: default cooperation,Suspicious Tit-for-Tat: mirroring opponent's move after initial defection,3,3
13,Agent_3-Agent_2,D-C,5-0,"{'strategy_rules': ['If opponent defects more than retaliation_threshold, defect in next round', 'If opponent cooperates, cooperate and increase forgiveness count', 'If previous move was an error (detected by sudden unexpected defection after a consistent pattern of cooperation), use forgiveness_factor to decide whether to cooperate or defect', ""Adjust strategy based on the adaptability factor depending on opponent's most frequent actions in the last 10 rounds""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""This strategy promotes long-term relationship building by favoring cooperation but includes mechanisms to handle errors and adapt to the opponent's changing strategy. It balances between cooperation and defection based on the opponent's behavior.""}","{'strategy_rules': ['Start by cooperating.', 'If opponent cooperates more than 70% of the time, continue cooperating.', 'If opponent defects, cooperate with a probability equal to the current forgiveness factor.', 'After detecting 3 consecutive defections, retaliate with the same number of defections, unless opponent cooperation percentage is greater than the retaliation threshold.', ""Adjust forgiveness factor based on opponent's recent moves: increase by 0.1 for each cooperation, decrease by 0.1 for each defection.""], 'forgiveness_factor': 0.5, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""This strategy aims to build trust through initial cooperation and maintains a flexible response pattern based on the opponent's behavior, allowing for error correction via the dynamic forgiveness factor and strategic defections when necessary to discourage exploitation.""}",Always Defect strategy,Contrite Tit-for-Tat: default cooperation,5,0
13,Agent_0-Agent_4,D-D,1-1,"{'strategy_rules': ['If opponent cooperated in the last round, cooperate.', 'If opponent defected in the last round, defect with a probability equal to the retaliation_threshold.', 'If opponent defected for at least 3 consecutive rounds, defect until they cooperate again.', 'After opponent resumes cooperation following a defect streak, cooperate with a probability equal to the forgiveness_factor.', ""Adjust the retaliation_threshold based on the ratio of opponent's defections to total rounds, increasing it when defections are more than 50%."", ""Adapt forgiveness_factor based on the continuity of opponent's cooperation; increase for consistent cooperation over 5 rounds.""], 'forgiveness_factor': 0.75, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""This strategy aims to balance cooperation for relationship building while incorporating adaptive responses to the opponent's behavior. Error correction is addressed through modification of forgiveness and retaliation metrics, providing a dynamic approach to potential trust rebuilding and ensuring resilience against exploitation.""}","{'strategy_rules': ['Start with cooperation', 'If opponent cooperated in the last two consecutive rounds, cooperate', 'If opponent defected in the last round but cooperated in previous two, forgive once and cooperate', 'If opponent defected more than twice in the last five rounds, retaliate by defecting', 'Adjust retaliation based on historical cooperation rate of the opponent: more cooperation leads to less retaliation', ""Use random cooperation once every ten rounds to test opponent's response pattern""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""This strategy builds long-term relationships through initial and ongoing cooperation, adjusts its response based on the opponent's past behavior, incorporates error correction by forgiving isolated defections, and includes random tests to adapt to the opponent's strategy. The balance between forgiveness and retaliation is strategically managed to optimize for a cooperative yet cautious engagement.""}",Suspicious Tit-for-Tat: starting with defection,Always Defect strategy,1,1
13,Agent_1-Agent_2,D-C,5-0,"{'strategy_rules': ['If the opponent cooperated in the last move, respond with cooperation.', 'If the opponent defected in the last move, respond with defection, unless the defection rate is lower than the retaliation threshold.', 'If the error rate (unexpected defections compared to usual patterns) exceeds 10%, increase cooperation by 10% for the next 5 moves to probe for potential return to cooperation.', ""Adjust response pattern based on the running average of the opponent's cooperation rate; if the rate increases, increase cooperation proportionally."", 'Apply a forgiveness factor after 3 consecutive defections by reverting to cooperation if the opponent cooperates again.'], 'forgiveness_factor': 0.2, 'retaliation_threshold': 0.3, 'adaptability': 0.5, 'rationale': ""This strategy seeks to foster a long-term cooperative relationship by balancing forgiveness and retaliation. It introduces flexibility and adaptability by adjusting responses based on the opponent's behavior and incorporates error correction to handle noise in decision-making patterns.""}","{'strategy_rules': ['If the opponent cooperates more than 75% of the time, continue cooperating unless an error is detected.', 'If the opponent defects more than 25% of the time, switch to defection but reassess after three rounds.', 'If an error is detected, such as a misunderstanding or miscommunication (e.g., accidental defection), forgive and return to cooperation once if the overall cooperation rate of the opponent is over 50%.', ""Adapt strategies based on the opponent's most frequent choices in the last 10 rounds, increasing cooperation if the trend moves toward cooperation and increasing defection if the trend moves toward defection.""], 'forgiveness_factor': 0.4, 'retaliation_threshold': 0.25, 'adaptability': 0.7, 'rationale': ""This strategy aims to build long-term relationships by promoting cooperation but allows for flexibility and responsive adjustments based on the opponent's behavior. The approach includes mechanisms for error detection and forgiveness to correct potential misplays, facilitating a resilient and adaptive strategy that balances the dynamics of cooperation and defection.""}",Always Defect strategy,Random: choosing action at random,5,0
14,Agent_4-Agent_2,C-C,3-3,"{'strategy_rules': ['If the opponent cooperates more than 75% of the time, cooperate.', 'If the opponent defects more than the retaliation_threshold, defect until they cooperate twice in a row.', 'If an accidental defection is detected (single defection followed by cooperation), respond with cooperation.', ""Adjust thresholds for cooperation and defection based on the opponent's last ten moves.""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.25, 'adaptability': 0.7, 'rationale': ""This strategy aims to build trust by rewarding cooperation and adapting to the opponent's behavior while maintaining a balance between forgiveness and retaliation. It incorporates error correction to handle occasional missteps in opponent's actions, promoting a resilient long-term relationship.""}","{'strategy_rules': ['If the opponent cooperated in the last round, cooperate.', 'If the opponent defected in the last round and the total defections by the opponent are less than retaliation_threshold times total rounds, cooperate.', 'If the opponent defected in the last round and the total defections by the opponent are more than retaliation_threshold times total rounds, defect.', 'If an error is detected (i.e., unexpected action not aligning with the pattern), reduce opponent defection count by forgiveness_factor.'], 'forgiveness_factor': 0.1, 'retaliation_threshold': 0.3, 'adaptability': 0.7, 'rationale': ""This strategy builds long-term relationships by cooperating with opponents who have historically been cooperative. It includes a forgiveness mechanism that adjusts for potential errors in judgment or anomalies in opponent behavior, allowing for occasional cooperation even after defection. It also adapts to the opponent's overall level of aggression by setting a threshold of defection that triggers consistent retaliation, promoting a balance between cooperation and necessary defection to discourage exploitation.""}",Always Cooperate strategy,Grim Trigger: continuing cooperation,3,3
14,Agent_0-Agent_3,C-C,3-3,"{'strategy_rules': [""If opponent's last move was cooperation, then cooperate"", ""If opponent's last move was defection, calculate the defection ratio (defections/total rounds)"", 'If defection ratio is below retaliation_threshold, cooperate', 'If defection ratio is above retaliation_threshold and below 0.5, retaliate proportionally to defection ratio', 'If defection ratio is above 0.5, defect until opponent cooperates twice consecutively', ""Incorporate a random error correction by cooperating once every 10-15 rounds irrespective of prior moves to probe opponent's strategy"", ""Adjust strategy based on opponent's response to error correction""], 'forgiveness_factor': 0.25, 'retaliation_threshold': 0.35, 'adaptability': 0.7, 'rationale': ""This strategy builds long-term relationships by initially cooperating and showing forgiveness to occasional defections. It uses retaliation to deter regular defectors but incorporates error corrections to adjust for possible misinterpretations of the opponent's actions. The adaptability allows the strategy to evolve based on the opponent's behavior, aiming to balance between cooperation and necessary defection.""}","{'strategy_rules': [""If opponent's last move was cooperation, then cooperate."", ""If opponent's last move was defection and current defection ratio is less than retaliation_threshold, then cooperate."", ""If opponent's last move was defection and current defection ratio is greater than retaliation_threshold, then defect."", 'If own last move resulted in a lower payoff than expected, adjust expected payoff according to forgiveness_factor.'], 'forgiveness_factor': 0.2, 'retaliation_threshold': 0.3, 'adaptability': 0.7, 'rationale': ""This strategy builds long-term relationships through initial cooperation and forgiveness for occasional defections. It features adaptive responses based on the opponent's defection ratio, allowing for both cooperation and defection. The forgiveness factor allows the strategy to recover from misunderstandings or errors in judgment.""}",Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,3,3
14,Agent_1-Agent_3,C-C,3-3,"{'strategy_rules': [""If it's the first round, cooperate."", 'If the opponent cooperated in the last round, cooperate.', 'If the opponent defected in the last round and it was their first defection, cooperate to correct potential errors.', 'If the opponent defected in the last round and has defected less than retaliation_threshold percentage of total rounds, cooperate.', 'If the opponent defected in the last round and has defected more than retaliation_threshold percentage of total rounds, defect.'], 'forgiveness_factor': 0.25, 'retaliation_threshold': 0.3, 'adaptability': 0.5, 'rationale': ""This strategy builds long-term relationships by initially cooperating and forgiving the first error of defection, assuming it might be a mistake. It allows for adaptive responses by using a threshold of defection percentage before shifting behavior from cooperation to defection. This helps balance between cooperative and punitive actions based on the opponent's overall behavior.""}","{'strategy_rules': ['Cooperate on the first move.', 'If the opponent cooperated in the last turn, cooperate in the current turn.', ""If the opponent's cooperation rate is above 70%, increase propensity to cooperate by 10%."", 'If the opponent defected in the last move but cooperated in the majority of previous moves, cooperate with a probability equal to the forgiveness factor.', 'Retaliate with defection after two consecutive defections from the opponent, unless their overall cooperation rate remains above the retaliation threshold.', ""Randomly switch strategy from always cooperating to always defecting for one to three moves if the opponent's defection rate exceeds 50% in the last 10 moves, to test and recalibrate.""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.6, 'adaptability': 0.7, 'rationale': ""This strategy builds a long-term relationship by defaulting to cooperation, allows for error correction with forgiveness after isolated defects based on past cooperation, adapts responses based on the opponent's recent behavior, and maintains the potential for both cooperation and defection to deter consistent exploitation.""}",Generous Tit-for-Tat: mirroring last move,Contrite Tit-for-Tat: mirroring opponent's last move,3,3
14,Agent_1-Agent_3,D-D,1-1,"{'strategy_rules': ['If the opponent cooperated in the last move, respond with cooperation.', 'If the opponent defected in the last move, respond with defection, unless the defection rate is lower than the retaliation threshold.', 'If the error rate (unexpected defections compared to usual patterns) exceeds 10%, increase cooperation by 10% for the next 5 moves to probe for potential return to cooperation.', ""Adjust response pattern based on the running average of the opponent's cooperation rate; if the rate increases, increase cooperation proportionally."", 'Apply a forgiveness factor after 3 consecutive defections by reverting to cooperation if the opponent cooperates again.'], 'forgiveness_factor': 0.2, 'retaliation_threshold': 0.3, 'adaptability': 0.5, 'rationale': ""This strategy seeks to foster a long-term cooperative relationship by balancing forgiveness and retaliation. It introduces flexibility and adaptability by adjusting responses based on the opponent's behavior and incorporates error correction to handle noise in decision-making patterns.""}","{'strategy_rules': ['If opponent defects more than retaliation_threshold, defect in next round', 'If opponent cooperates, cooperate and increase forgiveness count', 'If previous move was an error (detected by sudden unexpected defection after a consistent pattern of cooperation), use forgiveness_factor to decide whether to cooperate or defect', ""Adjust strategy based on the adaptability factor depending on opponent's most frequent actions in the last 10 rounds""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""This strategy promotes long-term relationship building by favoring cooperation but includes mechanisms to handle errors and adapt to the opponent's changing strategy. It balances between cooperation and defection based on the opponent's behavior.""}",Always Defect strategy,Always Defect strategy,1,1
14,Agent_1-Agent_3,C-C,3-3,"{'strategy_rules': ['If opponent cooperates, cooperate.', 'If opponent defects twice consecutively, defect once.', 'If opponent defects sporadically (<50% of the time), cooperate but maintain a cautious approach.', 'If opponent defects >75% of the time, switch to defection until opponent cooperates twice consecutively.', 'If an accidental defection is suspected (e.g., defect following a long streak of cooperation), revert to cooperation after one round.'], 'forgiveness_factor': 0.7, 'retaliation_threshold': 0.5, 'adaptability': 0.8, 'rationale': ""This strategy promotes long-term cooperation by reacting adaptively based on the opponent's actions, allowing for forgiveness of isolated defections and correcting potential errors in judgement. The adaptability factor enables the strategy to shift between cooperation and defection, maintaining a balance that prioritizes relationship building while protecting against exploitation.""}","{'strategy_rules': ['If the opponent cooperates, then cooperate', 'If the opponent defects for the first time, still cooperate', 'If the opponent defects more than once in the last three rounds, defect', ""If opponent's defection rate exceeds 50% over the last 10 rounds, increase defection, else decrease defection"", 'If winning by more than 20% margin, increase cooperation to build trust', 'If errors (misinterpretations of moves) are detected more than twice in 5 rounds, revert to a simple tit-for-tat for the next 5 rounds'], 'forgiveness_factor': 0.7, 'retaliation_threshold': 0.5, 'adaptability': 0.8, 'rationale': ""This strategy is designed to foster long-term relationships by prioritizing early forgiveness and building trust through cooperation. However, it also protects against exploitation by adapting to the opponent's behavior and increasing defection when necessary. The adaptability allows the strategy to modify its behavior based on the history and context of the game, aiming to balance cooperation with necessary retaliation to maximize long-term benefits.""}","Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: repeating successful move",3,3
